Catfish: Average price received by processors by product type (dollars per pound),,,,,,,,,,,,,
Year and month,,Fresh and frozen 1/,,,,Fresh,,,,Frozen,,,
,,Whole fish,Fillets,Other products,Average,Whole fish,Fillets,Other products,Average,Whole fish,Fillets,Other products,Average
2009.0,Jan,1.8372971305152732,3.1060088981941893,1.8004453707766566,2.589033849029177,1.72,3.3,1.64,2.57,2.26,3.01,1.83,2.6
,Feb,1.7983034976590473,3.0880513883133025,1.7542926239419592,2.544099138348339,1.67,3.24,1.52,2.46,2.2,3.02,1.8,2.59
,Mar,1.7734938875305621,3.066883611844034,1.7608769792935444,2.553358340688438,1.65,3.24,1.61,2.47,2.18,2.99,1.79,2.6
,Apr,1.7873916811091854,3.0731596144420847,1.9276704929101958,2.599196406412865,1.68,3.23,1.75,2.51,2.19,3.0,1.96,2.65
,May,1.811673886138614,3.0628686626061596,1.6404428607788242,2.547151663301095,1.7,3.23,1.6,2.51,2.23,2.98,1.65,2.57
,Jun,1.7668207917799938,3.0050554661698707,1.6160656578609902,2.5080722511437132,1.64,3.22,1.68,2.47,2.19,2.91,1.6,2.53
,Jul,1.7779726108961,3.0226396577755406,1.5723932853717026,2.4993933473857384,1.66,3.21,1.64,2.48,2.17,2.94,1.56,2.51
,Aug,1.8127435387673956,3.0295968645016793,1.6726812903225807,2.5450486433899036,1.69,3.21,1.64,2.5,2.23,2.95,1.68,2.57
,Sep,1.7854738942467576,3.002160688421232,1.6784478187515062,2.5164309532631135,1.66,3.2,1.67,2.49,2.21,2.92,1.68,2.53
,Oct,1.7265319678937172,3.0021708463949843,1.555628564909879,2.4412114989733062,1.59,3.19,1.64,2.39,2.22,2.92,1.54,2.47
,Nov,1.7004812834224599,3.021813433615377,1.7083700440528637,2.508105824811027,1.57,3.18,1.66,2.39,2.18,2.95,1.72,2.58
,Dec,1.6808527131782947,2.9935927672955978,1.5632864262679567,2.465708590068865,1.57,3.19,1.67,2.39,2.22,2.91,1.54,2.51
2010.0,Jan,1.6764588744588746,2.9851170811399523,1.832099558410277,2.4561489853583356,1.55,3.16,1.66,2.38,2.22,2.9,1.86,2.5
,Feb,1.636711915535445,2.9744606121424986,1.7349146757679181,2.4810929831542645,1.49,3.1,1.6,2.34,2.2,2.92,1.76,2.56
,Mar,1.6439076528430956,2.9614105565204265,1.6335731680318795,2.420868615741153,1.5,3.18,1.65,2.29,2.22,2.87,1.63,2.5
,Apr,1.6766818547306355,3.0209258096348797,1.6467740159647675,2.4776889417103343,1.55,3.22,1.81,2.38,2.24,2.93,1.61,2.54
,May,1.6856937799043061,3.0742068605258575,1.4873458445040215,2.4771904712151294,1.55,3.25,1.76,2.44,2.23,2.99,1.43,2.5
,Jun,1.7168141592920356,3.0339983093829246,1.5692144772117962,2.507678749409852,1.58,3.26,1.71,2.45,2.2,2.94,1.54,2.54
,Jul,1.8044455747711088,3.04646009964164,1.5301355088495574,2.5364906142396975,1.67,3.25,1.72,2.53,2.26,2.96,1.49,2.54
,Aug,1.7454972295129776,3.0570531166626247,1.6341673931996514,2.5131658981654073,1.58,3.22,1.72,2.46,2.25,2.99,1.62,2.54
,Sep,1.7736008544400366,3.0486779089376053,1.716225938168384,2.5069408284023664,1.63,3.24,1.69,2.48,2.25,2.97,1.72,2.52
,Oct,1.711933033202026,3.0997570027392416,1.68,2.5349603048586853,1.57,3.29,1.68,2.42,2.3,3.02,1.68,2.6
,Nov,1.7378991015894953,3.119604767240501,1.605560371517028,2.5607835142086444,1.61,3.32,1.74,2.47,2.23,3.04,1.58,2.61
,Dec,1.825774647887324,3.1351780457696323,1.608723786698622,2.5969663521452735,1.71,3.32,1.75,2.52,2.34,3.06,1.58,2.64
2011.0,Jan,1.998159688412853,3.3501971572673086,2.145846372688478,2.84663810151615,1.9,3.47,1.77,2.69,2.41,3.3,2.21,2.93
,Feb,2.203824786324786,3.613095012126964,2.0420195539260617,3.029502698535081,2.06,3.75,1.95,2.91,2.59,3.56,2.06,3.09
,Mar,2.29132944606414,3.870455208637292,2.374458226070676,3.2129025800711744,2.17,4.18,2.07,3.12,2.68,3.75,2.42,3.26
,Apr,2.413426769446391,4.174128937007874,2.091031031031031,3.366160669575792,2.28,4.43,2.14,3.24,2.92,4.07,2.08,3.44
,May,2.520887640449438,4.3170406525809035,2.0957347523536636,3.5046287030418553,2.4,4.55,2.24,3.38,2.93,4.22,2.06,3.58
,Jun,2.5939952153110046,4.374633323967407,1.914568655643422,3.4651998710509346,2.49,4.6,2.29,3.44,3.03,4.28,1.84,3.48
,Jul,2.771439842209073,4.58368856699431,1.898333885392514,3.6589122779560213,2.64,4.84,2.17,3.76,3.13,4.48,1.85,3.61
,Aug,2.7481889763779526,4.546566852367688,1.9671570099069347,3.653064708775381,2.61,4.77,2.26,3.66,3.15,4.47,1.92,3.65
,Sep,2.7732664489034065,4.622124212421243,2.29,3.72,2.65,4.88,2.29,3.72,3.17,4.53,2.29,3.72
,Oct,2.6650224581461823,4.549113580916238,2.128551859099804,3.6192918638020632,2.54,4.86,2.23,3.6,3.17,4.42,2.11,3.63
,Nov,2.560530759951749,4.528986674930276,2.0591523087525845,3.5107101241239547,2.42,4.84,2.23,3.46,3.17,4.4,2.03,3.54
,Dec,2.573892733564014,4.438391416585996,2.285058697972252,3.520497305891706,2.45,4.78,2.2,3.47,3.11,4.29,2.3,3.55
2012.0,Jan,2.5549726775956283,4.4021019108280255,1.9786406297305479,3.4309994786623967,2.44,4.73,2.15,3.45,3.04,4.26,1.95,3.42
,Feb,2.547203246533649,4.3712423478574,2.0932605254827474,3.4969156226206133,2.44,4.68,2.11,3.42,2.94,4.25,2.09,3.54
,Mar,2.5536381977135174,4.350365032486709,1.9909792556436852,3.4612930624447915,2.42,4.68,2.1,3.41,3.06,4.22,1.97,3.49
,Apr,2.4770039840637454,4.256981452640521,1.8987628865979382,3.409134855809302,2.35,4.57,2.14,3.36,2.98,4.12,1.84,3.44
,May,2.3798360655737705,3.945892834890966,1.8854595386305384,3.221919425966066,2.25,4.35,1.91,3.19,2.91,3.79,1.88,3.24
,Jun,2.279383326988961,3.7980377965420185,1.8318526315789472,3.1035529166332343,2.12,4.09,1.97,3.01,2.91,3.68,1.8,3.16
,Jul,2.2152608852105073,3.5132261397391193,1.745,2.8789658029526968,2.04,3.87,1.87,2.86,2.89,3.37,1.72,2.89
,Aug,2.160299003322259,3.2889163328882955,1.7821384335154828,2.7908807644370586,1.95,3.76,1.84,2.83,2.85,3.11,1.77,2.77
,Sep,2.080562403697997,3.295701951951952,2.0014820042342976,2.786298614215467,1.89,3.72,1.85,2.78,2.86,3.11,2.03,2.79
,Oct,1.9989873005535657,3.4239285714285717,1.8090037593984964,2.7952808988764044,1.84,3.74,1.85,2.68,2.77,3.29,1.8,2.87
,Nov,1.9853507161219246,3.342458055925433,2.327467136902854,2.8312162971839427,1.81,3.73,1.8,2.62,2.73,3.21,2.41,2.94
,Dec,1.9448471615720522,3.31555032925682,2.1909537000395725,2.7928814092481913,1.78,3.73,1.8,2.59,2.78,3.17,2.27,2.91
2013.0,Jan,1.9705126711331198,3.330631126776077,2.049020618556701,2.7564071482129466,1.81,3.7,1.82,2.59,2.77,3.2,2.09,2.85
,Feb,1.999155206286837,3.293856334720888,1.927408829174664,2.7660833494115376,1.83,3.68,1.78,2.67,2.73,3.15,1.96,2.82
,,,,,,,,,,,,,
"1/ Prices are gross value f.o.b. plant. Averages are weighted by sales volume.
Source: USDA, National Agricultural Statistics Service, Catfish Processing.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Date run: 4/5/2018 4:14:10 PM,,,,,,,,,,,,,
