"Catfish: Processor sales by product type (1,000 pounds)",,,,,,,,,,,,,
Year and month,,Fresh and frozen,,,,Fresh,,,,Frozen,,,
,,Whole fish,Fillets,Other products,Total,Whole fish,Fillets,Other products,Total,Whole fish,Fillets,Other products,Total
2009.0,Jan,3241.0,11463.0,4558.0,19262.0,2537.0,3795.0,709.0,7041.0,704.0,7668.0,3849.0,12221.0
,Feb,3631.0,12065.0,4962.0,20658.0,2752.0,3732.0,810.0,7294.0,879.0,8333.0,4152.0,13364.0
,Mar,4090.0,13644.0,4926.0,22660.0,3137.0,4196.0,797.0,8130.0,953.0,9448.0,4129.0,14530.0
,Apr,3462.0,12242.0,4443.0,20147.0,2733.0,3894.0,684.0,7311.0,729.0,8348.0,3759.0,12836.0
,May,3232.0,11657.0,3929.0,18818.0,2551.0,3864.0,751.0,7166.0,681.0,7793.0,3178.0,11652.0
,Jun,3309.0,11809.0,3899.0,19017.0,2546.0,3621.0,783.0,6950.0,763.0,8188.0,3116.0,12067.0
,Jul,3359.0,11922.0,4170.0,19451.0,2582.0,3649.0,646.0,6877.0,777.0,8273.0,3524.0,12574.0
,Aug,3018.0,11609.0,3875.0,18502.0,2332.0,3554.0,709.0,6595.0,686.0,8055.0,3166.0,11907.0
,Sep,3007.0,11737.0,4149.0,18893.0,2321.0,3444.0,644.0,6409.0,686.0,8293.0,3505.0,12484.0
,Oct,3613.0,11484.0,4383.0,19480.0,2830.0,3495.0,685.0,7010.0,783.0,7989.0,3698.0,12470.0
,Nov,2992.0,9573.0,3178.0,15743.0,2352.0,2989.0,616.0,5957.0,640.0,6584.0,2562.0,9786.0
,Dec,2967.0,10176.0,3411.0,16554.0,2461.0,3038.0,611.0,6110.0,506.0,7138.0,2800.0,10444.0
2010.0,Jan,3465.0,11018.0,4982.0,19465.0,2811.0,3607.0,695.0,7113.0,654.0,7411.0,4287.0,12352.0
,Feb,3978.0,13951.0,4688.0,22617.0,3156.0,4221.0,735.0,8112.0,822.0,9730.0,3953.0,14505.0
,Mar,4678.0,13243.0,4517.0,22438.0,3743.0,3905.0,807.0,8455.0,935.0,9338.0,3710.0,13983.0
,Apr,3731.0,11147.0,3633.0,18511.0,3046.0,3495.0,668.0,7209.0,685.0,7652.0,2965.0,11302.0
,May,3553.0,11486.0,4103.0,19142.0,2844.0,3720.0,713.0,7277.0,709.0,7766.0,3390.0,11865.0
,Jun,3503.0,11830.0,3730.0,19063.0,2730.0,3475.0,641.0,6846.0,773.0,8355.0,3089.0,12217.0
,Jul,2949.0,11441.0,3616.0,18006.0,2277.0,3411.0,631.0,6319.0,672.0,8030.0,2985.0,11687.0
,Aug,3429.0,12369.0,4588.0,20386.0,2582.0,3606.0,650.0,6838.0,847.0,8763.0,3938.0,13548.0
,Sep,3277.0,11860.0,5143.0,20280.0,2518.0,3456.0,647.0,6621.0,759.0,8404.0,4496.0,13659.0
,Oct,3554.0,11317.0,4023.0,18894.0,2863.0,3343.0,621.0,6827.0,691.0,7974.0,3402.0,12067.0
,Nov,2894.0,9817.0,3230.0,15941.0,2297.0,2791.0,516.0,5604.0,597.0,7026.0,2714.0,10337.0
,Dec,2982.0,10531.0,3338.0,16851.0,2434.0,3045.0,564.0,6043.0,548.0,7486.0,2774.0,10808.0
2011.0,Jan,3081.0,10905.0,4218.0,18204.0,2488.0,3220.0,615.0,6323.0,593.0,7685.0,3603.0,11881.0
,Feb,2808.0,9483.0,3273.0,15564.0,2046.0,2650.0,535.0,5231.0,762.0,6833.0,2738.0,10333.0
,Mar,3430.0,10281.0,4273.0,17984.0,2614.0,2880.0,556.0,6050.0,816.0,7401.0,3717.0,11934.0
,Apr,2854.0,8128.0,2997.0,13979.0,2259.0,2351.0,551.0,5161.0,595.0,5777.0,2446.0,8818.0
,May,2670.0,7478.0,2443.0,12591.0,2061.0,2199.0,485.0,4745.0,609.0,5279.0,1958.0,7846.0
,Jun,2508.0,7118.0,2782.0,12408.0,2025.0,2105.0,461.0,4591.0,483.0,5013.0,2321.0,7817.0
,Jul,2028.0,7732.0,3019.0,12779.0,1484.0,2227.0,456.0,4167.0,544.0,5505.0,2563.0,8612.0
,Aug,2286.0,8616.0,3331.0,14233.0,1701.0,2199.0,462.0,4362.0,585.0,6417.0,2869.0,9871.0
,Sep,2143.0,7777.0,3490.0,13410.0,1635.0,2047.0,444.0,4126.0,508.0,5730.0,3046.0,9284.0
,Oct,2449.0,7378.0,3066.0,12893.0,1963.0,2165.0,474.0,4602.0,486.0,5213.0,2592.0,8291.0
,Nov,2487.0,6454.0,2902.0,11843.0,2021.0,1892.0,423.0,4336.0,466.0,4562.0,2479.0,7507.0
,Dec,2312.0,6198.0,2811.0,11321.0,1878.0,1877.0,420.0,4175.0,434.0,4321.0,2391.0,7146.0
2012.0,Jan,2745.0,7379.0,3303.0,13427.0,2219.0,2231.0,473.0,4923.0,526.0,5148.0,2830.0,8504.0
,Feb,2957.0,8331.0,3159.0,14447.0,2323.0,2349.0,515.0,5187.0,634.0,5982.0,2644.0,9260.0
,Mar,2974.0,8465.0,3278.0,14717.0,2353.0,2399.0,529.0,5281.0,621.0,6066.0,2749.0,9436.0
,Apr,2510.0,7063.0,2425.0,11998.0,2004.0,2150.0,475.0,4629.0,506.0,4913.0,1950.0,7369.0
,May,2623.0,8025.0,2731.0,13379.0,2107.0,2234.0,497.0,4838.0,516.0,5791.0,2234.0,8541.0
,Jun,2627.0,7461.0,2375.0,12463.0,2097.0,2148.0,445.0,4690.0,530.0,5313.0,1930.0,7773.0
,Jul,2779.0,7743.0,2754.0,13276.0,2206.0,2218.0,459.0,4883.0,573.0,5525.0,2295.0,8393.0
,Aug,2709.0,8988.0,2745.0,14442.0,2076.0,2474.0,476.0,5026.0,633.0,6514.0,2269.0,9416.0
,Sep,2596.0,7992.0,2834.0,13422.0,2086.0,2433.0,449.0,4968.0,510.0,5559.0,2385.0,8454.0
,Oct,3071.0,8064.0,2660.0,13795.0,2546.0,2400.0,479.0,5425.0,525.0,5664.0,2181.0,8370.0
,Nov,2723.0,7510.0,3119.0,13352.0,2204.0,1913.0,422.0,4539.0,519.0,5597.0,2697.0,8813.0
,Dec,2748.0,7441.0,2527.0,12716.0,2295.0,1934.0,425.0,4654.0,453.0,5507.0,2102.0,8062.0
2013.0,Jan,3433.0,9079.0,3492.0,16004.0,2859.0,2372.0,530.0,5761.0,574.0,6707.0,2962.0,10243.0
,Feb,3054.0,9369.0,3126.0,15549.0,2480.0,2543.0,566.0,5589.0,574.0,6826.0,2560.0,9960.0
"Source: USDA, National Agricultural Statistics Service, Catfish Processing.",,,,,,,,,,,,,
Date run: 4/5/2018 4:14:12 PM,,,,,,,,,,,,,
